fecha,precio,costo,categoria,metodo_pago,sucursal,dia_semana,cliente_tipo,tipo_venta,cantidad,ganancia,alta_ganancia
2024-02-01,4426.7,1799.14,principal,debito,centro,Thursday,recurrente,salon,2,5255.1,1
2024-02-02,3825.78,1177.04,entrada,mp,palermo,Friday,nuevo,takeaway,1,2648.73,0
2024-02-03,4029.4,1399.61,bebida,efectivo,centro,Saturday,recurrente,takeaway,2,5259.57,1
2024-02-04,6273.08,3519.73,bebida,credito,palermo,Sunday,nuevo,delivery,4,11013.38,1
2024-02-05,4030.96,1767.99,principal,debito,palermo,Monday,empresa,takeaway,4,9051.89,1
2024-02-06,4960.97,4232.61,bebida,debito,centro,Tuesday,nuevo,delivery,4,2913.46,0
2024-02-07,6061.27,4352.94,postre,credito,centro,Wednesday,nuevo,salon,2,3416.65,0
2024-02-08,4299.68,2279.94,principal,credito,centro,Thursday,recurrente,delivery,3,6059.23,1
2024-02-09,4865.96,3334.15,principal,mp,belgrano,Friday,recurrente,delivery,4,6127.25,1
2024-02-10,5132.56,2694.67,principal,mp,palermo,Saturday,nuevo,salon,4,9751.53,1
2024-02-11,5076.54,3528.69,principal,efectivo,centro,Sunday,recurrente,delivery,2,3095.7,0
2024-02-12,3529.93,2377.96,principal,debito,centro,Monday,recurrente,salon,2,2303.95,0
2024-02-13,5091.37,2280.36,principal,credito,belgrano,Tuesday,nuevo,salon,1,2811.01,0
2024-02-14,6630.59,4364.39,principal,efectivo,palermo,Wednesday,nuevo,salon,1,2266.2,0
2024-02-15,3143.43,1189.95,entrada,debito,palermo,Thursday,recurrente,salon,2,3906.96,0
2024-02-16,6031.26,3582.56,principal,mp,belgrano,Friday,nuevo,takeaway,2,4897.39,1
2024-02-17,5143.22,2599.45,principal,efectivo,centro,Saturday,nuevo,delivery,4,10175.1,1
2024-02-18,4230.24,2191.51,principal,efectivo,palermo,Sunday,empresa,salon,4,8154.9,1
2024-02-19,7400.5,7320.86,bebida,efectivo,centro,Monday,nuevo,delivery,2,159.27,0
2024-02-20,5914.71,4587.62,principal,debito,palermo,Tuesday,empresa,takeaway,4,5308.35,1
2024-02-21,3560.85,2080.46,postre,efectivo,centro,Wednesday,recurrente,delivery,4,5921.58,1
2024-02-22,5089.42,3978.36,principal,debito,palermo,Thursday,nuevo,delivery,3,3333.18,0
2024-02-23,5692.03,3752.95,principal,credito,centro,Friday,recurrente,salon,3,5817.22,1
2024-02-24,4773.46,2138.92,principal,debito,centro,Saturday,nuevo,delivery,2,5269.08,1
2024-02-25,5819.49,4358.93,bebida,credito,palermo,Sunday,recurrente,salon,2,2921.13,0
2024-02-26,4920.18,3914.56,bebida,efectivo,belgrano,Monday,nuevo,takeaway,1,1005.62,0
2024-02-27,5800.7,2581.07,entrada,efectivo,centro,Tuesday,nuevo,delivery,1,3219.62,0
2024-02-28,6726.23,5242.23,entrada,mp,centro,Wednesday,recurrente,salon,2,2967.99,0
2024-02-29,4189.21,3252.28,bebida,debito,centro,Thursday,nuevo,takeaway,1,936.92,0
2024-03-01,5243.77,3277.39,bebida,mp,palermo,Friday,recurrente,delivery,1,1966.37,0
2024-03-02,4444.03,2346.05,principal,debito,belgrano,Saturday,nuevo,salon,2,4195.96,1
2024-03-03,5152.72,3846.26,bebida,credito,centro,Sunday,recurrente,salon,3,3919.39,1
2024-03-04,3575.37,1222.05,principal,credito,centro,Monday,nuevo,salon,3,7059.95,1
2024-03-05,4304.84,2845.96,bebida,efectivo,centro,Tuesday,recurrente,delivery,2,2917.75,0
2024-03-06,4764.56,3610.63,principal,efectivo,belgrano,Wednesday,empresa,salon,2,2307.87,0
2024-03-07,6078.52,4153.5,principal,debito,centro,Thursday,recurrente,salon,1,1925.01,0
2024-03-08,6374.27,4034.73,postre,efectivo,centro,Friday,nuevo,delivery,4,9358.15,1
2024-03-09,3411.77,2055.46,principal,efectivo,belgrano,Saturday,nuevo,salon,3,4068.91,1
2024-03-10,4046.43,2014.99,postre,efectivo,belgrano,Sunday,recurrente,salon,1,2031.44,0
2024-03-11,5776.28,4041.73,principal,debito,belgrano,Monday,recurrente,salon,4,6938.22,1
2024-03-12,2609.1,300.0,postre,debito,centro,Tuesday,nuevo,salon,4,9236.39,1
2024-03-13,4444.2,3140.19,bebida,debito,palermo,Wednesday,recurrente,delivery,2,2608.02,0
2024-03-14,4883.26,2114.34,principal,debito,palermo,Thursday,recurrente,salon,1,2768.92,0
2024-03-15,6508.42,4745.06,bebida,debito,belgrano,Friday,empresa,takeaway,4,7053.43,1
2024-03-16,5827.28,4116.02,principal,credito,belgrano,Saturday,nuevo,salon,4,6845.07,1
2024-03-17,4607.34,2302.18,postre,efectivo,centro,Sunday,nuevo,salon,2,4610.33,1
2024-03-18,4557.71,2131.92,entrada,mp,palermo,Monday,recurrente,salon,1,2425.79,0
2024-03-19,4699.77,2012.85,entrada,debito,belgrano,Tuesday,recurrente,takeaway,2,5373.82,1
2024-03-20,6828.24,4798.18,postre,mp,palermo,Wednesday,nuevo,delivery,4,8120.22,1
2024-03-21,4486.37,3106.65,bebida,efectivo,palermo,Thursday,nuevo,salon,4,5518.89,1
2024-03-22,4635.58,3211.94,principal,efectivo,belgrano,Friday,nuevo,salon,2,2847.3,0
2024-03-23,5423.11,3266.35,bebida,efectivo,belgrano,Saturday,recurrente,salon,2,4313.51,1
2024-03-24,4855.08,2648.45,entrada,mp,belgrano,Sunday,recurrente,delivery,2,4413.26,1
2024-03-25,4763.26,1984.62,bebida,debito,palermo,Monday,nuevo,delivery,4,11114.54,1
2024-03-26,3663.12,1570.22,bebida,credito,centro,Tuesday,empresa,delivery,1,2092.9,0
2024-03-27,4986.17,2444.06,principal,credito,centro,Wednesday,recurrente,salon,3,7626.35,1
2024-03-28,4467.7,1605.96,principal,efectivo,centro,Thursday,recurrente,salon,1,2861.74,0
2024-03-29,6399.35,4483.99,postre,debito,palermo,Friday,nuevo,delivery,2,3830.72,0
2024-03-30,5783.71,5023.6,principal,debito,belgrano,Saturday,nuevo,salon,2,1520.22,0
2024-03-31,4971.03,3996.52,postre,debito,belgrano,Sunday,nuevo,delivery,3,2923.52,0
2024-04-01,5802.06,5008.52,postre,credito,belgrano,Monday,recurrente,delivery,4,3174.15,0
2024-04-02,4592.16,1678.04,principal,efectivo,centro,Tuesday,nuevo,delivery,3,8742.34,1
2024-04-03,6262.55,5055.74,principal,mp,centro,Wednesday,nuevo,salon,4,4827.26,1
2024-04-04,4993.52,2331.23,entrada,debito,centro,Thursday,nuevo,salon,3,7986.87,1
2024-04-05,5700.06,3490.05,entrada,debito,palermo,Friday,empresa,takeaway,1,2210.01,0
2024-04-06,3450.93,450.24,bebida,credito,belgrano,Saturday,recurrente,takeaway,4,12002.75,1
2024-04-07,5416.02,2913.85,principal,efectivo,belgrano,Sunday,nuevo,delivery,3,7506.5,1
2024-04-08,2974.16,1245.81,entrada,credito,palermo,Monday,nuevo,delivery,4,6913.36,1
2024-04-09,2557.61,897.63,principal,debito,centro,Tuesday,recurrente,salon,1,1659.98,0
2024-04-10,4634.63,2775.01,principal,debito,belgrano,Wednesday,nuevo,takeaway,4,7438.47,1
2024-04-11,3920.09,1997.4,principal,efectivo,belgrano,Thursday,empresa,delivery,1,1922.68,0
2024-04-12,5196.86,3768.38,bebida,efectivo,belgrano,Friday,empresa,salon,1,1428.48,0
2024-04-13,7693.71,5916.55,bebida,mp,centro,Saturday,nuevo,delivery,3,5331.48,1
2024-04-14,4001.93,1075.41,bebida,credito,centro,Sunday,recurrente,salon,1,2926.52,0
2024-04-15,4251.27,3642.76,bebida,debito,palermo,Monday,nuevo,salon,3,1825.51,0
2024-04-16,5246.48,3265.54,principal,credito,belgrano,Tuesday,nuevo,delivery,4,7923.77,1
2024-04-17,5591.62,4426.48,entrada,mp,centro,Wednesday,nuevo,salon,4,4660.53,1
2024-04-18,4788.31,2857.39,bebida,efectivo,palermo,Thursday,nuevo,delivery,3,5792.78,1
2024-04-19,4752.88,2364.98,principal,mp,centro,Friday,recurrente,delivery,4,9551.6,1
2024-04-20,5842.96,4083.28,principal,efectivo,centro,Saturday,nuevo,takeaway,4,7038.69,1
2024-04-21,5623.89,3282.8,principal,credito,centro,Sunday,recurrente,salon,1,2341.09,0
2024-04-22,3759.59,3072.48,bebida,efectivo,belgrano,Monday,recurrente,delivery,1,687.11,0
2024-04-23,4904.98,2330.09,principal,efectivo,palermo,Tuesday,recurrente,salon,3,7724.68,1
2024-04-24,5042.34,3664.53,principal,debito,palermo,Wednesday,nuevo,salon,3,4133.43,1
2024-04-25,3734.62,1498.93,principal,credito,palermo,Thursday,nuevo,salon,4,8942.74,1
2024-04-26,5311.81,3384.09,bebida,debito,centro,Friday,recurrente,delivery,1,1927.71,0
2024-04-27,3970.45,3980.35,principal,credito,belgrano,Saturday,recurrente,salon,4,-39.57,0
2024-04-28,6166.48,4895.72,principal,mp,palermo,Sunday,recurrente,delivery,2,2541.51,0
2024-04-29,5231.3,3276.94,principal,efectivo,centro,Monday,nuevo,salon,3,5863.07,1
2024-04-30,5107.17,2219.38,entrada,efectivo,palermo,Tuesday,nuevo,salon,4,11551.13,1
2024-05-01,4290.77,2289.68,bebida,credito,belgrano,Wednesday,recurrente,takeaway,3,6003.26,1
2024-05-02,4857.67,2877.28,postre,debito,centro,Thursday,recurrente,salon,4,7921.55,1
2024-05-03,2602.7,1791.58,postre,debito,belgrano,Friday,nuevo,delivery,3,2433.36,0
2024-05-04,3642.31,840.51,bebida,debito,centro,Saturday,recurrente,salon,4,11207.21,1
2024-05-05,5435.41,2370.45,principal,credito,centro,Sunday,nuevo,salon,2,6129.91,1
2024-05-06,2445.72,625.72,entrada,mp,belgrano,Monday,recurrente,salon,1,1820.0,0
2024-05-07,6015.93,4369.76,principal,mp,belgrano,Tuesday,recurrente,takeaway,3,4938.51,1
2024-05-08,2904.68,2238.02,principal,credito,centro,Wednesday,recurrente,salon,1,666.67,0
2024-05-09,5908.09,3489.76,principal,debito,palermo,Thursday,nuevo,delivery,4,9673.3,1
2024-05-10,3985.4,300.0,principal,mp,palermo,Friday,empresa,salon,4,14741.61,1
2024-05-11,5934.79,3632.81,principal,credito,centro,Saturday,empresa,salon,2,4603.96,1
2024-05-12,5157.14,2472.55,bebida,efectivo,belgrano,Sunday,empresa,delivery,4,10738.37,1
2024-05-13,3155.8,976.34,bebida,mp,palermo,Monday,recurrente,salon,2,4358.92,1
2024-05-14,6498.98,5388.49,principal,efectivo,centro,Tuesday,nuevo,delivery,4,4441.96,1
2024-05-15,6730.05,3994.38,bebida,credito,palermo,Wednesday,empresa,salon,2,5471.34,1
2024-05-16,4921.03,3985.24,bebida,credito,palermo,Thursday,recurrente,salon,4,3743.19,0
2024-05-17,4671.3,3018.77,postre,mp,palermo,Friday,recurrente,salon,4,6610.14,1
2024-05-18,4808.16,2812.96,principal,credito,palermo,Saturday,recurrente,takeaway,2,3990.39,1
2024-05-19,3829.82,1411.78,bebida,mp,palermo,Sunday,nuevo,takeaway,1,2418.04,0
2024-05-20,6318.3,4227.11,principal,efectivo,centro,Monday,recurrente,salon,2,4182.38,1
2024-05-21,4348.53,2277.75,entrada,efectivo,centro,Tuesday,recurrente,salon,2,4141.57,1
2024-05-22,4938.57,3671.61,principal,efectivo,centro,Wednesday,nuevo,delivery,2,2533.92,0
2024-05-23,4048.04,3150.6,postre,credito,palermo,Thursday,nuevo,salon,4,3589.76,0
2024-05-24,4248.71,2405.68,principal,debito,palermo,Friday,nuevo,takeaway,2,3686.07,0
2024-05-25,3466.73,2163.87,principal,efectivo,belgrano,Saturday,nuevo,salon,2,2605.73,0
2024-05-26,6508.48,5623.93,principal,efectivo,belgrano,Sunday,empresa,salon,3,2653.65,0
2024-05-27,4815.09,3901.26,entrada,credito,centro,Monday,nuevo,salon,4,3655.35,0
2024-05-28,6159.11,4702.2,entrada,debito,centro,Tuesday,nuevo,salon,1,1456.91,0
2024-05-29,5015.99,4512.79,entrada,credito,palermo,Wednesday,recurrente,salon,3,1509.58,0
2024-05-30,4166.72,3309.94,postre,debito,palermo,Thursday,nuevo,salon,1,856.77,0
2024-05-31,4607.98,3952.57,principal,mp,belgrano,Friday,nuevo,takeaway,1,655.4,0
2024-06-01,4327.72,2400.14,principal,credito,palermo,Saturday,recurrente,delivery,4,7710.33,1
2024-06-02,5009.55,2923.96,bebida,debito,centro,Sunday,nuevo,salon,2,4171.18,1
2024-06-03,4549.68,1344.68,principal,debito,palermo,Monday,recurrente,takeaway,1,3205.0,0
2024-06-04,4640.09,3888.36,bebida,efectivo,centro,Tuesday,recurrente,salon,1,751.73,0
2024-06-05,3345.71,2021.43,postre,efectivo,palermo,Wednesday,recurrente,takeaway,3,3972.85,1
2024-06-06,4031.78,1592.96,bebida,debito,centro,Thursday,nuevo,salon,2,4877.66,1
2024-06-07,6984.87,5336.61,entrada,debito,palermo,Friday,nuevo,salon,2,3296.52,0
2024-06-08,4194.52,2623.42,principal,efectivo,palermo,Saturday,recurrente,delivery,2,3142.2,0
2024-06-09,3735.09,738.67,bebida,debito,palermo,Sunday,empresa,salon,4,11985.68,1
2024-06-10,5404.79,3841.68,principal,efectivo,palermo,Monday,recurrente,salon,2,3126.23,0
2024-06-11,6688.73,5698.06,bebida,mp,palermo,Tuesday,recurrente,salon,1,990.66,0
2024-06-12,3255.17,2377.03,entrada,credito,palermo,Wednesday,recurrente,delivery,4,3512.57,0
2024-06-13,4749.77,2714.79,entrada,efectivo,centro,Thursday,nuevo,salon,2,4069.97,1
2024-06-14,4241.54,2227.87,bebida,debito,belgrano,Friday,recurrente,delivery,4,8054.68,1
2024-06-15,2886.78,2046.97,principal,efectivo,palermo,Saturday,nuevo,delivery,4,3359.23,0
2024-06-16,5881.91,4771.69,principal,efectivo,palermo,Sunday,nuevo,delivery,4,4440.89,1
2024-06-17,4971.87,2797.57,bebida,debito,centro,Monday,recurrente,delivery,2,4348.6,1
2024-06-18,5085.73,2881.64,principal,efectivo,centro,Tuesday,nuevo,salon,4,8816.35,1
2024-06-19,4097.23,2747.48,bebida,efectivo,belgrano,Wednesday,recurrente,delivery,4,5398.98,1
2024-06-20,5545.74,3310.19,principal,credito,belgrano,Thursday,recurrente,salon,4,8942.21,1
2024-06-21,4352.84,2152.54,principal,debito,belgrano,Friday,nuevo,salon,4,8801.19,1
2024-06-22,4828.52,4276.67,principal,credito,palermo,Saturday,recurrente,salon,4,2207.37,0
2024-06-23,3670.09,2088.53,principal,debito,belgrano,Sunday,nuevo,salon,2,3163.11,0
2024-06-24,3540.68,1450.09,principal,debito,belgrano,Monday,empresa,salon,1,2090.59,0
2024-06-25,6602.64,5203.79,bebida,debito,palermo,Tuesday,nuevo,delivery,1,1398.85,0
2024-06-26,4391.47,4088.73,entrada,debito,belgrano,Wednesday,recurrente,takeaway,4,1210.99,0
2024-06-27,5350.02,3748.13,entrada,debito,belgrano,Thursday,empresa,salon,1,1601.89,0
2024-06-28,4959.45,2632.99,entrada,debito,centro,Friday,recurrente,salon,1,2326.47,0
2024-06-29,4470.63,1564.34,principal,credito,centro,Saturday,recurrente,salon,4,11625.14,1
2024-06-30,4390.45,4123.99,postre,efectivo,palermo,Sunday,nuevo,salon,2,532.9,0
2024-07-01,5756.1,2126.77,principal,efectivo,palermo,Monday,recurrente,delivery,3,10887.97,1
2024-07-02,4637.76,3626.75,principal,debito,palermo,Tuesday,recurrente,salon,4,4044.02,1
2024-07-03,4818.27,2348.39,principal,credito,palermo,Wednesday,nuevo,salon,1,2469.88,0
2024-07-04,5026.67,2362.73,entrada,credito,belgrano,Thursday,nuevo,delivery,1,2663.94,0
2024-07-05,6411.81,3923.7,principal,credito,belgrano,Friday,empresa,salon,4,9952.45,1
2024-07-06,5816.61,3911.88,bebida,debito,centro,Saturday,recurrente,delivery,4,7618.93,1
2024-07-07,5459.12,4472.11,principal,credito,centro,Sunday,nuevo,delivery,1,987.01,0
2024-07-08,4323.71,2085.12,bebida,credito,belgrano,Monday,recurrente,takeaway,4,8954.36,1
2024-07-09,3341.64,2042.3,principal,efectivo,belgrano,Tuesday,recurrente,salon,4,5197.35,1
2024-07-10,6139.44,6105.32,principal,credito,centro,Wednesday,empresa,takeaway,1,34.11,0
2024-07-11,6159.74,2379.51,entrada,credito,palermo,Thursday,recurrente,salon,4,15120.92,1
2024-07-12,4831.15,2535.48,principal,debito,centro,Friday,nuevo,salon,3,6887.01,1
2024-07-13,5650.26,2577.61,principal,efectivo,palermo,Saturday,nuevo,salon,3,9217.96,1
2024-07-14,5937.73,4775.87,principal,credito,belgrano,Sunday,nuevo,salon,4,4647.46,1
2024-07-15,5997.42,3170.17,principal,efectivo,centro,Monday,empresa,takeaway,2,5654.5,1
2024-07-16,6105.66,3192.75,principal,debito,belgrano,Tuesday,nuevo,takeaway,3,8738.73,1
2024-07-17,4453.26,1565.07,principal,debito,palermo,Wednesday,nuevo,salon,2,5776.37,1
2024-07-18,6817.97,5032.81,entrada,mp,belgrano,Thursday,empresa,salon,3,5355.47,1
2024-07-19,3504.09,2545.81,principal,efectivo,belgrano,Friday,nuevo,salon,2,1916.55,0
2024-07-20,6034.07,4358.19,bebida,efectivo,centro,Saturday,recurrente,takeaway,3,5027.64,1
2024-07-21,5592.72,5334.66,entrada,debito,palermo,Sunday,empresa,salon,3,774.18,0
2024-07-22,6048.34,5439.75,postre,mp,belgrano,Monday,empresa,salon,3,1825.77,0
2024-07-23,7254.81,5390.45,principal,efectivo,centro,Tuesday,nuevo,delivery,1,1864.36,0
2024-07-24,6781.33,5675.31,postre,credito,palermo,Wednesday,recurrente,salon,3,3318.06,0
2024-07-25,3625.79,1940.9,principal,efectivo,centro,Thursday,nuevo,salon,2,3369.77,0
2024-07-26,2973.59,1249.89,principal,credito,centro,Friday,recurrente,takeaway,3,5171.1,1
2024-07-27,5980.27,2828.76,principal,efectivo,centro,Saturday,nuevo,delivery,2,6303.02,1
2024-07-28,3781.99,1073.65,bebida,credito,centro,Sunday,nuevo,salon,4,10833.35,1
2024-07-29,4985.11,3216.52,principal,debito,belgrano,Monday,nuevo,takeaway,1,1768.59,0
2024-07-30,6007.67,3361.44,entrada,credito,centro,Tuesday,nuevo,salon,1,2646.23,0
2024-07-31,3027.44,1773.24,entrada,efectivo,palermo,Wednesday,recurrente,salon,4,5016.8,1
2024-08-01,2468.02,903.85,bebida,efectivo,palermo,Thursday,nuevo,takeaway,1,1564.17,0
2024-08-02,5311.16,2874.0,principal,efectivo,palermo,Friday,nuevo,salon,3,7311.47,1
2024-08-03,5053.26,4122.43,entrada,efectivo,belgrano,Saturday,nuevo,delivery,1,930.84,0
2024-08-04,4705.04,3100.32,principal,efectivo,palermo,Sunday,nuevo,delivery,4,6418.85,1
2024-08-05,5046.24,4170.83,bebida,efectivo,belgrano,Monday,nuevo,salon,1,875.41,0
2024-08-06,3967.38,2085.15,principal,debito,centro,Tuesday,nuevo,takeaway,1,1882.23,0
2024-08-07,3183.81,300.0,entrada,debito,palermo,Wednesday,recurrente,delivery,1,2883.81,0
2024-08-08,4800.01,3526.48,principal,credito,centro,Thursday,nuevo,salon,4,5094.13,1
2024-08-09,3833.95,1875.83,principal,debito,belgrano,Friday,recurrente,salon,4,7832.46,1
2024-08-10,3027.82,1855.95,entrada,debito,palermo,Saturday,nuevo,salon,1,1171.87,0
2024-08-11,5606.82,4611.5,bebida,credito,centro,Sunday,nuevo,takeaway,2,1990.63,0
2024-08-12,4926.32,3991.42,principal,mp,belgrano,Monday,nuevo,delivery,3,2804.72,0
2024-08-13,5487.83,2669.51,entrada,credito,palermo,Tuesday,empresa,salon,3,8454.98,1
2024-08-14,3812.85,359.14,bebida,efectivo,palermo,Wednesday,nuevo,delivery,4,13814.82,1
2024-08-15,4210.33,2072.2,bebida,debito,centro,Thursday,nuevo,delivery,2,4276.26,1
2024-08-16,3801.15,2502.55,bebida,efectivo,belgrano,Friday,recurrente,delivery,4,5194.38,1
2024-08-17,3936.03,1642.61,principal,credito,palermo,Saturday,nuevo,salon,4,9173.7,1
2024-08-18,5234.49,3668.52,entrada,efectivo,belgrano,Sunday,nuevo,salon,2,3131.95,0
2024-08-19,4060.43,1699.45,principal,debito,centro,Monday,nuevo,takeaway,1,2360.98,0
2024-08-20,5427.28,3423.58,principal,efectivo,palermo,Tuesday,recurrente,takeaway,3,6011.09,1
2024-08-21,5407.71,3411.91,bebida,mp,centro,Wednesday,nuevo,salon,2,3991.59,1
2024-08-22,7430.19,5205.1,bebida,efectivo,palermo,Thursday,empresa,salon,4,8900.37,1
2024-08-23,3328.65,1934.3,bebida,credito,palermo,Friday,nuevo,salon,2,2788.71,0
2024-08-24,6065.48,4548.54,principal,credito,belgrano,Saturday,recurrente,salon,1,1516.94,0
2024-08-25,4892.61,4297.49,principal,efectivo,belgrano,Sunday,recurrente,takeaway,1,595.13,0
2024-08-26,4983.16,3492.47,entrada,credito,centro,Monday,recurrente,salon,1,1490.69,0
2024-08-27,3260.16,2455.8,principal,debito,belgrano,Tuesday,recurrente,delivery,1,804.37,0
2024-08-28,4447.77,2749.04,entrada,efectivo,centro,Wednesday,nuevo,delivery,1,1698.72,0
2024-08-29,5891.84,4762.18,entrada,efectivo,centro,Thursday,nuevo,salon,2,2259.32,0
2024-08-30,4901.03,3030.16,entrada,efectivo,centro,Friday,empresa,salon,3,5612.59,1
2024-08-31,5097.27,2980.0,principal,credito,centro,Saturday,nuevo,salon,1,2117.27,0
2024-09-01,4651.14,3845.23,principal,efectivo,belgrano,Sunday,recurrente,salon,3,2417.74,0
2024-09-02,6385.48,5154.78,postre,efectivo,palermo,Monday,recurrente,delivery,1,1230.7,0
2024-09-03,4974.23,3834.55,entrada,efectivo,centro,Tuesday,empresa,takeaway,3,3419.05,0
2024-09-04,2359.5,300.0,entrada,credito,belgrano,Wednesday,nuevo,takeaway,4,8238.0,1
2024-09-05,4169.51,1175.06,postre,debito,belgrano,Thursday,nuevo,delivery,4,11977.81,1
2024-09-06,2637.44,300.0,postre,debito,palermo,Friday,recurrente,salon,2,4674.89,1
2024-09-07,1098.27,300.0,postre,credito,palermo,Saturday,recurrente,salon,4,3193.1,0
2024-09-08,4363.86,1538.36,postre,credito,belgrano,Sunday,recurrente,delivery,1,2825.5,0
2024-09-09,6600.27,5860.15,postre,credito,centro,Monday,recurrente,salon,2,1480.25,0
2024-09-10,5056.54,2206.99,principal,debito,belgrano,Tuesday,recurrente,delivery,3,8548.65,1
2024-09-11,3592.95,2252.3,postre,debito,centro,Wednesday,recurrente,delivery,3,4021.95,1
2024-09-12,3871.16,4017.37,entrada,debito,centro,Thursday,recurrente,salon,2,-292.41,0
2024-09-13,6356.74,2701.17,principal,mp,belgrano,Friday,nuevo,delivery,1,3655.56,0
2024-09-14,5189.15,2284.54,postre,credito,centro,Saturday,recurrente,salon,3,8713.85,1
2024-09-15,5057.6,3979.92,entrada,debito,centro,Sunday,nuevo,salon,4,4310.73,1
2024-09-16,4935.85,3017.54,principal,mp,palermo,Monday,recurrente,takeaway,2,3836.61,0
2024-09-17,5046.08,3396.23,principal,efectivo,centro,Tuesday,nuevo,delivery,2,3299.7,0
2024-09-18,5966.49,4094.93,principal,efectivo,palermo,Wednesday,recurrente,takeaway,1,1871.55,0
2024-09-19,5663.08,4901.38,bebida,credito,centro,Thursday,recurrente,takeaway,3,2285.1,0
2024-09-20,5258.85,3935.89,postre,mp,centro,Friday,nuevo,salon,3,3968.86,1
2024-09-21,3748.56,1620.99,principal,efectivo,palermo,Saturday,recurrente,delivery,4,8510.29,1
2024-09-22,5613.33,3657.44,principal,efectivo,palermo,Sunday,recurrente,salon,2,3911.77,1
2024-09-23,4178.9,1539.44,bebida,efectivo,centro,Monday,nuevo,salon,4,10557.87,1
2024-09-24,6312.61,4456.79,postre,credito,belgrano,Tuesday,recurrente,salon,4,7423.3,1
2024-09-25,3474.74,300.0,principal,efectivo,palermo,Wednesday,recurrente,salon,3,9524.22,1
2024-09-26,4834.85,3535.87,bebida,credito,centro,Thursday,recurrente,delivery,2,2597.98,0
2024-09-27,4991.17,3009.64,postre,credito,belgrano,Friday,empresa,delivery,2,3963.07,1
2024-09-28,3410.43,2951.85,bebida,efectivo,palermo,Saturday,nuevo,delivery,1,458.58,0
2024-09-29,7066.37,6143.56,postre,mp,centro,Sunday,nuevo,salon,4,3691.23,0
2024-09-30,6752.49,4022.52,bebida,efectivo,centro,Monday,recurrente,delivery,1,2729.97,0
2024-10-01,4443.7,3303.66,principal,credito,centro,Tuesday,nuevo,salon,3,3420.11,0
